,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,[ KS 규격 및 RH+(확대규격) ] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,공칭치수,표준단면치수,,,,,단면적,단위무게,단면2차모멘트,,단면 2차 반경,,단면계수,,소성단면계수,,뒤틀림상수,비틀림상수,,RH+,,,,,,,,,,,,,,,,,,
,,Norminal Size(mm),Sectional Dimension(mm),,,,,Sectional Area(cm2),"Unit
Weight 
(kg/m)","2nd Moment of Inertia
(cm4)",,"Radius of 
Gyration  (cm)",,"Modulus of
Section
(cm³ )",,Plastic Section Modulus(mm3x103),,"Warping
Constant
(cm6,x103)","Torsional
Constant
(cm⁴)",2차,,,,,,,,,,,,,,,,,,,
,,,H,B,t1,t2,r,A,W,Ix,Iy,ix,iy,Sx,Sy,Zx,Zy,A,A,57 ,55 ,,,,,,,,,,,,,,,,,,
,,400 x 400,388 ,402 ,15 ,15 ,22 ,178.50 , 140.0 ,"48,965 ","16,258 ",16.56 ,9.54 ,"2,520.0 ",808.9 ,"2,802 ","1,237 ","5,650.00 ",174.29 ,,,,,,,,,,,,,,,,,,,,
,,,394 ,398 ,11 ,18 ,22 ,186.80 , 147.0 ,"56,145 ","18,923 ",17.34 ,10.06 ,"2,850.0 ",950.9 ,"3,119 ","1,441 ","6,680.00 ",193.38 ,,,,,,,,,,,,,,,,,,,,
,,,394 ,405 ,18 ,18 ,22 ,214.40 , 168.0 ,"59,713 ","19,955 ",16.69 ,9.65 ,"3,030.0 ",985.4 ,"3,390 ","1,511 ","7,040.00 ",289.96 ,,,,,,,,,,,,,,,,,,,,
,,,400 ,400 ,13 ,21 ,22 ,218.70 , 172.0 ,"66,621 ","22,413 ",17.45 ,10.12 ,"3,330.0 ","1,120.0 ","3,673 ","1,700 ","8,040.00 ",303.94 ,,,,,,,,,,,,,,,,,,,,
,,,400 ,408 ,21 ,21 ,22 ,250.70 , 197.0 ,"70,888 ","23,809 ",16.82 ,9.75 ,"3,540.0 ","1,170.0 ","3,993 ","1,794 ","8,540.00 ",450.42 ,,,,,,,,,,,,,,,,,,,,
,,,406 ,403 ,16 ,24 ,22 ,254.90 , 200.0 ,"78,039 ","26,200 ",17.50 ,10.14 ,"3,840.0 ","1,300.0 ","4,280 ","1,977 ","9,550.00 ",467.01 ,,,,,,,,,,,,,,,,,,,,
,,,414 ,405 ,18 ,28 ,22 ,295.40 , 232.0 ,"92,771 ","31,027 ",17.72 ,10.25 ,"4,480.0 ","1,530.0 ","5,026 ","2,331 ","11,550.00 ",720.50 ,,,,,,,,,,,,,,,,,,,,
,,,422 ,407 ,20 ,32 ,22 ,336.20 , 264.0 ,"108,177 ","35,991 ",17.94 ,10.35 ,"5,130.0 ","1,770.0 ","5,793 ","2,692 ","13,670.00 ","1,050.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,428 ,407 ,20 ,35 ,22 ,360.70 , 283.0 ,"119,204 ","39,362 ",18.18 ,10.45 ,"5,570.0 ","1,930.0 ","6,312 ","2,941 ","15,190.00 ","1,320.00 ",,,,,,,,,,,,,,,,,,,,
,,,432 ,410 ,23 ,37 ,22 ,389.90 , 306.0 ,"128,745 ","42,549 ",18.17 ,10.45 ,"5,960.0 ","2,080.0 ","6,802 ","3,164 ","16,580.00 ","1,620.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,442 ,413 ,26 ,42 ,22 ,444.20 , 349.0 ,"150,479 ","49,378 ",18.41 ,10.54 ,"6,810.0 ","2,390.0 ","7,844 ","3,650 ","19,720.00 ","2,360.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
,,,452 ,416 ,29 ,47 ,22 ,499.00 , 392.0 ,"173,419 ","56,482 ",18.64 ,10.64 ,"7,670.0 ","2,720.0 ","8,920 ","4,150 ","23,120.00 ","3,310.00 ",2 ,2 ,,,,,,,,,,,,,,,,,,
